Position,TrackName,Artist,Streams,URL,date,Region
46,Broccoli (feat. Lil Yachty),DRAM,1039292,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,1/4/17,global
47,This Is What You Came For,Calvin Harris,1000852,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,1/4/17,global
48,Vente Pa' Ca,Ricky Martin,991208,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/4/17,global
49,Otra Vez (feat. J Balvin),Zion & Lennox,964817,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/4/17,global
50,The Greatest,Sia,963854,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,1/4/17,global
1,Starboy,The Weeknd,3579206,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/5/17,global
2,Closer,The Chainsmokers,3202540,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/5/17,global
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2990199,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/5/17,global
4,"I Don��t Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack)""""",ZAYN,2898180,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/5/17,global
5,Let Me Love You,DJ Snake,2677274,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/5/17,global
6,Don't Wanna Know,Maroon 5,2573317,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/5/17,global
7,Say You Won't Let Go,James Arthur,2565362,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/5/17,global
8,I Feel It Coming,The Weeknd,2470422,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/5/17,global
9,Fake Love,Drake,2423689,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/5/17,global
